HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.citycountry_1432_wsj0910_1,Answer.citycountry_1432_wsj0910_2,Answer.citycountry_1432_wsj0910_3,Answer.citycountry_1432_wsj0910_4,Answer.citycountry_1432_wsj0910_5,Answer.citycountry_1432_wsj0910_6,Answer.citycountry_1432_wsj0910_7,Answer.citycountry_1432_wsj0910_8,Answer.citycountry_3166_wsj1147_1,Answer.citycountry_3166_wsj1147_2,Answer.citycountry_3166_wsj1147_3,Answer.citycountry_3166_wsj1147_4,Answer.citycountry_3166_wsj1147_5,Answer.citycountry_3166_wsj1147_6,Answer.citycountry_3166_wsj1147_7,Answer.citycountry_3166_wsj1147_8,Answer.gender.female,Answer.gender.male,Answer.gender.other,Answer.human_3851_wsj1234_1,Answer.human_3851_wsj1234_2,Answer.human_3851_wsj1234_3,Answer.human_3851_wsj1234_4,Answer.human_3851_wsj1234_5,Answer.human_3851_wsj1234_6,Answer.human_3851_wsj1234_7,Answer.human_3851_wsj1234_8,Answer.human_8174_wsj1570_1,Answer.human_8174_wsj1570_10,Answer.human_8174_wsj1570_2,Answer.human_8174_wsj1570_3,Answer.human_8174_wsj1570_4,Answer.human_8174_wsj1570_5,Answer.human_8174_wsj1570_6,Answer.human_8174_wsj1570_7,Answer.human_8174_wsj1570_8,Answer.human_8174_wsj1570_9,Answer.human_829_wsj0591_1,Answer.human_829_wsj0591_2,Answer.human_829_wsj0591_3,Answer.human_829_wsj0591_4,Answer.human_829_wsj0591_5,Answer.human_829_wsj0591_6,Answer.human_829_wsj0591_7,Answer.human_829_wsj0591_8,Answer.human_8623_wsj1615_1,Answer.human_8623_wsj1615_2,Answer.human_8623_wsj1615_3,Answer.human_8623_wsj1615_4,Answer.human_8623_wsj1615_5,Answer.human_8623_wsj1615_6,Answer.human_8623_wsj1615_8,Answer.human_8623_wsj1615_9,Answer.lng.Intermediate,Answer.lng.basic,Answer.lng.fluent,Answer.lng.native_speaker,Answer.org_3473_wsj1175_1,Answer.org_3473_wsj1175_2,Answer.org_3473_wsj1175_3,Answer.org_3473_wsj1175_4,Answer.org_3473_wsj1175_5,Answer.org_3473_wsj1175_6,Answer.org_3473_wsj1175_7,Answer.org_4912_wsj1316_1,Answer.org_4912_wsj1316_2,Answer.org_4912_wsj1316_3,Answer.org_4912_wsj1316_4,Answer.org_4912_wsj1316_5,Answer.org_4912_wsj1316_6,Answer.org_4912_wsj1316_7,Answer.org_4912_wsj1316_8,Answer.other_12504_wsj2436_1,Answer.other_12504_wsj2436_2,Answer.other_12504_wsj2436_3,Answer.other_12504_wsj2436_4,Answer.other_12504_wsj2436_5,Answer.other_12504_wsj2436_6,Answer.other_12504_wsj2436_7,Answer.other_12504_wsj2436_8,Answer.other_12504_wsj2436_9,Answer.other_6176_wsj1412_1,Answer.other_6176_wsj1412_2,Answer.other_6176_wsj1412_3,Answer.other_6176_wsj1412_4,Answer.other_6176_wsj1412_5,Answer.other_6176_wsj1412_6,Answer.other_6176_wsj1412_7,Answer.test_1,Approve,Reject
3IZVJEBJ6AKJWA0X4PBVY0G7LMJZ6Q,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 02:14:06 PDT 2021,20,BatchId:4470668;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 02:14:06 PDT 2021,NA,NA,304SM51WA34VNUT8VQ4X270OJZHBSK,list3-1,Submitted,Wed Jun 09 02:37:02 PDT 2021,Wed Jun 09 03:06:52 PDT 2021,Sun Jun 13 03:06:52 PDT 2021,NA,NA,NA,1790,100% (1/1),100% (1/1),0% (0/0),30,united state,its,united state,it,its,its,its,it,california,its,it,it,its,it,it,itsshe,FALSE,TRUE,FALSE,Ronald B. Koenig,he,he,his,him,he,Ronald B. Koenig,him,Allen D. Tharp,Allen D. Tharp,he,his,he,his,him,he,him,his,he,chairman,he,his,him,see,Big Board volume,no,Heidi Ehman,her,she,she,her,she,her,Heidi Ehman,FALSE,FALSE,FALSE,TRUE,Buell,its,its,it,it,its,Buell,it,Goodson,it,its,it,it,Goodson,it,U.S. News & World Report,its,it,it,its,U.S. News & World Report,its,it,U.S. News & World Report,"The movie ""Days of Rage""",its,it,its,it,"The movie ""Days of Rage""",its,its,NA,NA
3IZVJEBJ6AKJWA0X4PBVY0G7LMJZ6Q,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 02:14:06 PDT 2021,20,BatchId:4470668;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 02:14:06 PDT 2021,NA,NA,32SCWG5HIH4S4QWL7IJVWM9LII5P6B,list3-2,Submitted,Wed Jun 09 09:54:25 PDT 2021,Wed Jun 09 10:29:07 PDT 2021,Sun Jun 13 10:29:07 PDT 2021,NA,NA,NA,2082,0% (0/0),0% (0/0),0% (0/0),32,the United States,United States,its,this country,USA,the United States,USA,USA,California,California's,it,this state,this state,it,its,California,FALSE,TRUE,FALSE,Ronald B. Koenig,He,Ronald B. Koenig,he,Mr. Ronald,the managing director,his,Mr. Ronald,Allen D. Tharp,himself,Mr. Allen,he,he,his,he,Mr. Allen,his,him,Mr. Wohlstetter,him,Mr. Charles,he,the chairman,Mr. Charles,he,The chairman,Heidi Ehman,her,she,she,Ms. Ehman,her,Ms. Heidi,she,FALSE,FALSE,FALSE,TRUE,Buell Industries,its,Its,Buell Industries,it,its,It,Goodson,it,its,Goodson,it,It,Goodson,it,U.S. News & World Report,it,its,the magazine's,it,U.S. News & World Report's,the magazine,its,U.S. News & World Report,Days of Rage,the movie,the movie,it,it,Days of Rage,The movie,its,NA,NA
3IZVJEBJ6AKJWA0X4PBVY0G7LMJZ6Q,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 02:14:06 PDT 2021,20,BatchId:4470668;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 02:14:06 PDT 2021,NA,NA,337RC3OW052NSVWOGYYWRXG0UXMVLT,list3-3,Submitted,Wed Jun 09 02:14:12 PDT 2021,Wed Jun 09 02:34:00 PDT 2021,Sun Jun 13 02:34:00 PDT 2021,NA,NA,NA,1188,0% (0/0),0% (0/0),0% (0/0),59,The United States,the USA,high,the United States,US,the United States,them,them,California,California,he,State,California,them,their,California,TRUE,FALSE,FALSE,Ronald B. Koenig,Mr. Koenig,Koenig,he,him,Koenig,his,Mr. Koenig,Allen Tharp,Tharp,Mr. Tharp,he,he,his,Tharp,Mr. Tharp,his,him,Mr. Wohlstetter,he,Wohlstetter,he,Wohlstetter,Mr. Wohlstetter,he,he,Heidi Ehman,her,Heidi,she,Ms. Ehman,her,she,she,FALSE,FALSE,FALSE,TRUE,Buell,its,Their,Buell,they,their,Buell,Goodson Newspaper Group Inc.,Goodson,their,Goodson,they,Goodson,Goodson,they,U.S. News & World Report,the company,company,the magazine's,it,the,the magazine,its,U.S. News & World Report,Days of Rage,the movie,the movie,it,the film,The movie,Days of Rage,its,NA,NA
3IZVJEBJ6AKJWA0X4PBVY0G7LMJZ6Q,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 02:14:06 PDT 2021,20,BatchId:4470668;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 02:14:06 PDT 2021,NA,NA,34T446B1C0EEWQ120OH83L0N6SZ0CU,list3-4,Submitted,Wed Jun 09 02:39:58 PDT 2021,Wed Jun 09 03:24:55 PDT 2021,Sun Jun 13 03:24:55 PDT 2021,NA,NA,NA,2697,0% (0/0),0% (0/0),0% (0/0),31,The United States,it,The U.S. tended to dominate,the 32-nation Organization of American State,The U.S. tended to dominate,The United States of America is a large and h,its,it,west coast of the United States,california,it,united states,it,its,it,california,TRUE,FALSE,FALSE,Ronald B. Koenig,he,he,Ronald B. Koenig,Ronald B. Koenig,is a 55-year old,senior man,he,Allen D. Tharp,him,Humphreys County in Mississippi.,his,he,Allen D. Tharp,his,he,him,allen d. tharp,it,79 years old,is the chairman of Contel Corporation.,Charles Wohlstetter,him,Charles Wohlstetter,his,he,Heidi Ehman,Heidi Ehman,politically active woman.,she,her,she,Heidi Ehman,her,FALSE,FALSE,TRUE,FALSE,Buell,Buell Industries Inc,Buell Industries Inc,it,that makes industrial fasteners and metal sta,Buell Industries Inc.,it,Goodson Newspaper Group Inc.,it,Goodson,it,Goodson for short - is a company in the Unit,goodson,it,its,.S. News & World Report,U.S. News & World Report is a popular weekly,it,its,it,it,.S. News & World Report,U.S. News & World Report is a popular weekly,it,days of rage,it,its,it,it,its,it,its,NA,NA
3IZVJEBJ6AKJWA0X4PBVY0G7LMJZ6Q,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 02:14:06 PDT 2021,20,BatchId:4470668;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 02:14:06 PDT 2021,NA,NA,34V1S5K3GS17C3GEQTNYAW96DB0694,list3-5,Submitted,Wed Jun 09 04:56:34 PDT 2021,Wed Jun 09 05:38:42 PDT 2021,Sun Jun 13 05:38:42 PDT 2021,NA,NA,NA,2528,0% (0/0),0% (0/0),0% (0/0),62,the United States,America,American,the United States,US,the USA,the United States,the USA,California,state,the state,Golden State,California,it,its,the state,TRUE,FALSE,FALSE,Ronald B. Koenig,He,Koenig,he,Mr. Koenig,Ronald Koenig,his,Ronald,Allen D. Tharp,Allen,Allen,he,he,his,he,Tharp,his,Mr. Tharp,Charles Wohlstetter,he,Wohlstetter,he,Charles Wohlstetter,Mr. Wohlstetter,he,Wohlstetter,Heidi Ehman,her,she,Ehman,Heidi,her,she,Ehman,FALSE,FALSE,FALSE,TRUE,Buell,Its,Their,Buell Industries,they,its,Buell Industries Inc.,Goodson Group,they,its,Goodson,The Group,They,The Company,they,U.S. News & World Report,the magazine,his,the magazine's,World Report,The Report's,the magazine,its,U.S. News,"The movie ""Days of Rage""",the movie,"""Days of Rage""",it,the movie,It,It,its,NA,NA
3IZVJEBJ6AKJWA0X4PBVY0G7LMJZ6Q,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 02:14:06 PDT 2021,20,BatchId:4470668;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 02:14:06 PDT 2021,NA,NA,3DIP6YHAPCSBBDQJRJ0IMO68A388E4,list3-6,Submitted,Wed Jun 09 03:52:35 PDT 2021,Wed Jun 09 04:25:17 PDT 2021,Sun Jun 13 04:25:17 PDT 2021,NA,NA,NA,1962,0% (0/0),0% (0/0),0% (0/0),41,The United States,the US,United States,America,The United States,America,the U.S.,America,California,Californian,California,western state's,Californians,California,California's,the west costal state,FALSE,TRUE,FALSE,Ronald B. Koenig,Mr. Koenig,He,he,Koenig,Ronald Koenig,his,Mr. Koenig,Allen D. Tharp,Allen D. Tharp,Allen,he,he,his,Mr. Tharp,Allen Tharp,his,him,Charles Wohlstetter,he,Mr. Wohlstetter,he,Mr. Wohlstetter,Charles Wohlstetter,the 79 year old,He,Heidi Ehman,her,she,Miss Ehman,Heidi Ehman,her,the 24 year old,she,FALSE,FALSE,FALSE,TRUE,Buell,it's,The company's,Buell,it,it's,Buell Industries,Goodson Newspaper Group Inc,Goodson,it's,The newspaper company,Goodson Newspaper Group,It,Goodson,it,U.S. News & World Report,the magazine.,it's,U.S. News & World Report's,it,it's,U.S. News & World Report,it's,U.S. News & World Report,"the movie, Days of Rage",it,Days of Rage,it,the movie,Days of Rage,It,its,NA,NA
3IZVJEBJ6AKJWA0X4PBVY0G7LMJZ6Q,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 02:14:06 PDT 2021,20,BatchId:4470668;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 02:14:06 PDT 2021,NA,NA,3DR23U6WE5EU9XI7UHBDDK2VOF5TEO,list3-7,Submitted,Wed Jun 09 02:14:10 PDT 2021,Wed Jun 09 02:52:12 PDT 2021,Sun Jun 13 02:52:12 PDT 2021,NA,NA,NA,2282,100% (1/1),100% (1/1),0% (0/0),25,membership,American,country,OAS,Canadian,Latin American,Canadian,American,west coast,west coast,offered it,California,people in the state,from that,optimal,right,FALSE,TRUE,FALSE,Ronald B. Koenig,He,He,he,him,him,his,Ronald,Allen D. Tharp,say that,He,he,his,the,he,he,the,him,Charles,Contel Corporation,Contel,the chairman of Contel Corporation,him,Contel Corporation,by Charles,Charles Wohlstetter,Heidi Ehman,political,she,and she,and,the thought of,of Heidi,Heidi Ehman,FALSE,FALSE,FALSE,TRUE,Buell Industries,its share,It,It,that it,its,Buell,Goodson,Goodson Newspaper,over,It,will,It,Goodson,it will,U.S. News & World Report,U.S. News & World Report,U.S. News & World Report,its,It,Roger,Ruby,the,the magazine,Days of Rage,Palestinians,it will,of,Palestinians,Israel,It,its,NA,NA
3IZVJEBJ6AKJWA0X4PBVY0G7LMJZ6Q,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 02:14:06 PDT 2021,20,BatchId:4470668;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 02:14:06 PDT 2021,NA,NA,3G0WWMR1UVKLBN3S6CK1Y2LHI07QNW,list3-8,Submitted,Wed Jun 09 02:14:11 PDT 2021,Wed Jun 09 02:56:24 PDT 2021,Sun Jun 13 02:56:24 PDT 2021,NA,NA,NA,2533,0% (0/0),0% (0/0),0% (0/0),54,The United States,The U.S,highly,The United States,North America,North America,it was,a large,California,-,state,California,it,the west coast,the United States.,it,FALSE,TRUE,FALSE,Ronald B. Koenig,he,he,he,him,senior managing director,his,he,Allen D. Tharp,Humphreys County,he,he,male catfish farmer,him,he,he,his,Allen D. Tharp,Charles Wohlstetter,he,chairman,he,him,chairman of Contel Corporation,he,he,Heidi Ehman,a,Heidi Ehman,she,she,her,Heidi Ehman,a 24-year-old,FALSE,FALSE,FALSE,TRUE,Buell,Buell Industries Inc.,it,Buell,it,its,it,Goodson,Goodson,its,it,was,Goodson Newspaper Group Inc.,it,it,U.S. News & World Report,U.S. News & World Report,its,its,it,its,it,popular weekly magazine,United States,Days of Rage,it,its,it,Days of Rage,it,it,its,NA,NA
